"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Its [[board]] of directors will [[propose]] a dividend of EUR0 .[[12]] per [[share]] for 2010 , up from the EUR0 .08 per [[share]] [[paid]] in 2009 .","Its [[plank]] of directors will [[nominate]] a dividend of EUR0 .[[twelve]] per [[deal]] for 2010 , up from the EUR0 .08 per [[portion]] [[pay]] in 2009 .",0.015865981578826904,0.019848167896270752,0,0,0,123,"Failed"
"Lifetree was founded in 2000 , and its [[revenues]] have [[risen]] on an average by 40 % with margins in late 30s .","Lifetree was founded in 2000 , and its [[taxation]] have [[arise]] on an average by 40 % with margins in late 30s .",0.038532912731170654,0.6530470848083496,0,2,0,98,"Successful"
"( Filippova ) [[A]] trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been [[signed]] in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","( Filippova ) [[axerophthol]] trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been [[subscribe]] in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",0.12306278944015503,0.9341456294059753,0,2,0,104,"Successful"
"MegaFon 's [[subscriber]] [[base]] [[increased]] [[16]].[[1]] % in 2009 to [[50]].5 [[million]] [[users]] as of [[December]] [[31]] , while its [[market]] [[share]] by the [[number]] of customers [[amounted]] to [[24]] % as of [[late]] 2009 , up from [[23]] % as of [[late]] 2008 , [[according]] to TeliaSonera [[estimates]] .","MegaFon 's [[contributor]] [[establish]] [[increase]] [[sixteen]].[[single]] % in 2009 to [[fifty]].5 [[trillion]] [[exploiter]] as of [[Dec]] [[xxxi]] , while its [[commercialise]] [[deal]] by the [[act]] of customers [[amount]] to [[twenty-four]] % as of [[recently]] 2009 , up from [[XXIII]] % as of [[latterly]] 2008 , [[agree]] to TeliaSonera [[figure]] .",0.014530181884765625,0.18185335397720337,0,0,0,358,"Failed"
"[[Net]] income from [[life]] insurance [[doubled]] to EUR 6.[[8]] [[mn]] from EUR [[3]].2 [[mn]] , and [[net]] income from non-life [[insurance]] [[rose]] to EUR [[5]].2 [[mn]] from EUR [[1]].[[5]] [[mn]] in the [[corresponding]] [[period]] in 2009 .","[[meshing]] income from [[living]] insurance [[reduplicate]] to EUR 6.[[eight]] [[manganese]] from EUR [[trine]].2 [[Minnesota]] , and [[profits]] income from non-life [[policy]] [[jump]] to EUR [[Phoebe]].2 [[Minnesota]] from EUR [[unity]].[[Phoebe]] [[Minnesota]] in the [[jibe]] [[flow]] in 2009 .",0.01670539379119873,0.525040328502655,0,1,0,392,"Successful"
"[[Net]] sales [[increased]] to EUR193 .[[3]] m from EUR179 .[[9]] m and pretax [[profit]] [[rose]] by [[34]].2 % to EUR43 .[[1]] m. ( EUR1 = USD1 .[[4]] )","[[last]] sales [[increase]] to EUR193 .[[trey]] m from EUR179 .[[niner]] m and pretax [[profits]] [[jump]] by [[thirty-four]].2 % to EUR43 .[[unity]] m. ( EUR1 = USD1 .[[quartet]] )",0.014613986015319824,0.025085926055908203,0,0,0,206,"Failed"
"[[Net]] sales [[surged]] by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","[[last]] sales [[zoom]] by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",0.01822221279144287,0.9040836095809937,0,2,0,196,"Successful"
"Nordea Group 's [[operating]] [[profit]] increased in 2010 by 18 percent year-on-year to [[3]].64 billion euros and [[total]] [[revenue]] by [[3]] percent to [[9]].33 [[billion]] euros .","Nordea Group 's [[engage]] [[net]] increased in 2010 by 18 percent year-on-year to [[trine]].64 billion euros and [[entire]] [[taxation]] by [[tercet]] percent to [[ennead]].33 [[trillion]] euros .",0.014758288860321045,0.5671135187149048,0,2,0,212,"Successful"
"[[Operating]] [[profit]] for the nine-month [[period]] [[increased]] from EUR13 .6 m , while [[net]] [[sales]] [[increased]] from EUR394 .[[7]] m , as [[compared]] to the [[corresponding]] [[period]] in 2005 .","[[maneuver]] [[net]] for the nine-month [[stop]] [[increase]] from EUR13 .6 m , while [[last]] [[sale]] [[increase]] from EUR394 .[[septenary]] m , as [[liken]] to the [[equate]] [[menstruation]] in 2005 .",0.014328539371490479,0.1622942090034485,0,0,0,187,"Failed"
"[[Operating]] [[profit]] for the nine-month [[period]] [[increased]] from EUR3 .1 m and [[net]] [[sales]] [[increased]] from EUR61 .[[5]] m , as [[compared]] to the [[corresponding]] [[period]] in 2007 .","[[operate]] [[net]] for the nine-month [[stop]] [[increase]] from EUR3 .1 m and [[final]] [[sale]] [[increase]] from EUR61 .[[fivesome]] m , as [[liken]] to the [[equate]] [[catamenia]] in 2007 .",0.014343976974487305,0.04983055591583252,0,0,0,189,"Failed"
"[[Operating]] [[profit]] for the three-month period [[increased]] from EUR1 .2 m , while [[revenue]] [[increased]] from EUR20 .2 m , as [[compared]] to the [[corresponding]] [[period]] in 2005 .","[[go]] [[earnings]] for the three-month period [[increase]] from EUR1 .2 m , while [[gross]] [[increase]] from EUR20 .2 m , as [[equate]] to the [[jibe]] [[stop]] in 2005 .",0.014186561107635498,0.017218291759490967,0,0,0,140,"Failed"
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 [[new]] clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as [[saying]] .","The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 [[unexampled]] clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as [[locution]] .",0.036950528621673584,0.9721277952194214,0,1,0,189,"Successful"
"The company 's [[net]] [[profit]] [[rose]] [[11]].4 % on the year to 82.2 [[million]] euros in 2005 on sales of 686.5 [[million]] euros , 13.[[8]] % up on the [[year]] , the [[company]] [[said]] [[earlier]] .","The company 's [[last]] [[profits]] [[lift]] [[eleven]].4 % on the year to 82.2 [[meg]] euros in 2005 on sales of 686.5 [[meg]] euros , 13.[[ogdoad]] % up on the [[twelvemonth]] , the [[fellowship]] [[enounce]] [[early]] .",0.014000117778778076,0.04717773199081421,0,0,0,319,"Failed"
"The Lithuanian beer market made up 14.41 million liters in January , a [[rise]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the [[results]] from its members .","The Lithuanian beer market made up 14.41 million liters in January , a [[resurrect]] of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the [[leave]] from its members .",0.015811443328857422,0.9735487103462219,0,1,0,262,"Successful"
"Viking [[Line]] 's [[cargo]] [[revenue]] [[increased]] by [[5]].[[4]] % to EUR [[21]].46 [[mn]] , and [[cargo]] [[volume]] [[increased]] by [[2]].[[4]] % to [[70]],116 [[cargo]] [[units]] .","Viking [[parentage]] 's [[payload]] [[taxation]] [[increase]] by [[five]].[[quaternity]] % to EUR [[XXI]].46 [[manganese]] , and [[consignment]] [[bulk]] [[increase]] by [[deuce]].[[tetrad]] % to [[LXX]],116 [[freight]] [[unit]] .",0.014547646045684814,0.3627547025680542,0,0,0,259,"Failed"
"The fair value of the property portfolio [[doubled]] as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","The fair value of the property portfolio [[reduplicate]] as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",0.05269801616668701,0.9709717035293579,0,2,0,126,"Successful"
"10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V [[said]] yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and [[announced]] a proposal for a [[raised]] payout .","10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V [[allege]] yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and [[foretell]] a proposal for a [[fire]] payout .",0.020732641220092773,0.6074080467224121,0,1,0,219,"Successful"
"A Helsinki : ELIiV [[today]] [[reported]] EPS of EUR1 .[[13]] for 2009 , an [[increase]] over EPS of EUR1 .[[12]] in 2008 .","A Helsinki : ELIiV [[nowadays]] [[cover]] EPS of EUR1 .[[thirteen]] for 2009 , an [[increment]] over EPS of EUR1 .[[XII]] in 2008 .",0.015084624290466309,0.36643654108047485,0,0,0,65,"Failed"
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has [[signed]] a new , long-term [[contract]] with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has [[gestural]] a new , long-term [[condense]] with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",0.01812875270843506,0.6672093868255615,0,2,0,283,"Successful"
"[[Commission]] income [[increased]] by [[22]] % to EUR [[4]].[[4]] [[mn]] , and [[lending]] [[volume]] [[rose]] by [[13]].[[5]] % .","[[commissioning]] income [[increase]] by [[XXII]] % to EUR [[quaternity]].[[four]] [[manganese]] , and [[impart]] [[mass]] [[grow]] by [[thirteen]].[[cinque]] % .",0.014886856079101562,0.2610209584236145,0,0,0,194,"Failed"
"In January , [[traffic]] , measured in revenue [[passenger]] kilometres RPK , [[went]] up by [[3]].2 % and [[capacity]] , measured in available seat kilometres ASK , [[rose]] by 12.2 % .","In January , [[dealings]] , measured in revenue [[rider]] kilometres RPK , [[expire]] up by [[threesome]].2 % and [[content]] , measured in available seat kilometres ASK , [[grow]] by 12.2 % .",0.01459658145904541,0.9093921780586243,0,2,0,286,"Successful"
"[[In]] January-September 2010 , Fiskars ' [[net]] [[profit]] [[went]] up by [[14]] % year-on-year to EUR 65.4 [[million]] and [[net]] sales to EUR 525.[[3]] [[million]] from EUR 487.7 [[million]] .","[[inwards]] January-September 2010 , Fiskars ' [[mesh]] [[earnings]] [[break]] up by [[XIV]] % year-on-year to EUR 65.4 [[trillion]] and [[earnings]] sales to EUR 525.[[troika]] [[meg]] from EUR 487.7 [[trillion]] .",0.015844345092773438,0.548315167427063,0,1,0,309,"Successful"
"[[Net]] income from [[life]] insurance [[rose]] to EUR 16.5 [[mn]] from EUR 14.[[0]] mn , and [[net]] income from non-life [[insurance]] to EUR 22.6 [[mn]] from EUR 15.2 mn in 2009 .","[[meshing]] income from [[living]] insurance [[jump]] to EUR 16.5 [[manganese]] from EUR 14.[[cipher]] mn , and [[last]] income from non-life [[indemnity]] to EUR 22.6 [[manganese]] from EUR 15.2 mn in 2009 .",0.0170556902885437,0.6314616203308105,0,1,0,266,"Successful"
"Nyrstar has also [[agreed]] to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar has also [[jibe]] to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",0.24829107522964478,0.7104779481887817,0,2,0,154,"Successful"
"Sales for both the Department Store Division and Hobby Hall [[increased]] by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Sales for both the Department Store Division and Hobby Hall [[increase]] by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",0.018720269203186035,0.6915166974067688,0,1,0,115,"Successful"
"Sales have [[risen]] in other export markets .","Sales have [[rebel]] in other export markets .",0.017301619052886963,0.9940873980522156,0,1,0,50,"Successful"
"[[Sales]] increased [[due]] to [[growing]] market rates and increased [[operations]] .","[[sale]] increased [[referable]] to [[farm]] market rates and increased [[process]] .",0.01573580503463745,0.9401902556419373,0,2,0,95,"Successful"
"The [[agreement]] [[strengthens]] our long-term partnership with Nokia Siemens Networks .","The [[correspondence]] [[tone]] our long-term partnership with Nokia Siemens Networks .",0.019637703895568848,0.535403847694397,0,2,0,36,"Successful"
"The agreement was [[signed]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was [[subscribe]] with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",0.06900352239608765,0.8019686341285706,0,2,0,141,"Successful"
"The company also estimates the already carried out investments to [[lead]] to an [[increase]] in its net [[sales]] for 2010 from 2009 when they reached EUR 141.7 million .","The company also estimates the already carried out investments to [[go]] to an [[addition]] in its net [[sale]] for 2010 from 2009 when they reached EUR 141.7 million .",0.015840470790863037,0.5916292667388916,0,2,0,191,"Successful"
"The [[company]] 's [[order]] book stood at [[1]].5 bln euro $ 2.2 bln on September [[30]] , 2007 , up by [[24]].[[2]] [[pct]] on the [[year]] , with [[international]] [[orders]] [[amounting]] to 365 mln euro $ 534.[[3]] mln .","The [[party]] 's [[dictate]] book stood at [[I]].5 bln euro $ 2.2 bln on September [[XXX]] , 2007 , up by [[twenty-four]].[[deuce]] [[percent]] on the [[class]] , with [[International]] [[society]] [[amount]] to 365 mln euro $ 534.[[III]] mln .",0.015684545040130615,0.1182246208190918,0,0,0,365,"Failed"
"The [[company]] [[said]] that paper [[demand]] increased in all of its main [[markets]] , [[including]] of publication papers , and that it [[increased]] [[average]] [[paper]] prices by 4 percent [[compared]] with [[last]] year .","The [[society]] [[enounce]] that paper [[necessitate]] increased in all of its main [[grocery]] , [[admit]] of publication papers , and that it [[increase]] [[fair]] [[theme]] prices by 4 percent [[equate]] with [[death]] year .",0.015124261379241943,0.559048056602478,0,2,0,222,"Successful"
"The [[world]] 's second [[largest]] [[stainless]] steel maker [[said]] [[net]] profit in the three-month period until Dec. 31 [[surged]] to euro603 [[million]] [[US]]$ 781 million , or euro3 .33 [[US]]$ [[4]].[[31]] per share , from euro172 million , or euro0 .94 per [[share]] , the [[previous]] year .","The [[humans]] 's second [[turgid]] [[untainted]] steel maker [[aver]] [[last]] profit in the three-month period until Dec. 31 [[scend]] to euro603 [[jillion]] [[uracil]]$ 781 million , or euro3 .33 [[U]]$ [[IV]].[[xxxi]] per share , from euro172 million , or euro0 .94 per [[portion]] , the [[premature]] year .",0.01969808340072632,0.582200288772583,0,1,0,402,"Successful"
"[[Within]] the [[framework]] of the partnership , Nokia [[Siemens]] [[Networks]] has [[signed]] an initial [[framework]] purchase [[agreement]] with Sitronics subsidiary , JSC Mikron , which is the [[largest]] manufacturer and exporter of microelectronic [[components]] in Russia .","[[inside]] the [[model]] of the partnership , Nokia [[S]] [[meshing]] has [[subscribe]] an initial [[model]] purchase [[correspondence]] with Sitronics subsidiary , JSC Mikron , which is the [[big]] manufacturer and exporter of microelectronic [[part]] in Russia .",0.028913438320159912,0.508691668510437,0,2,0,139,"Successful"
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",0.9713922739028931,0.9713922739028931,1,1,0,1,"Skipped"
"[[Shares]] of [[Standard]] Chartered ( STAN ) [[rose]] [[1]].2 % in the FTSE [[100]] , while [[Royal]] Bank of Scotland ( RBS ) shares [[rose]] 2 % and Barclays [[shares]] ( BARC ) ( BCS ) were up [[1]].7 % .","[[parcel]] of [[measure]] Chartered ( STAN ) [[jump]] [[unity]].2 % in the FTSE [[hundred]] , while [[regal]] Bank of Scotland ( RBS ) shares [[resurrect]] 2 % and Barclays [[deal]] ( BARC ) ( BCS ) were up [[single]].7 % .",0.017863690853118896,0.430810809135437,0,0,0,303,"Failed"
"Shares of Nokia Corp. [[rose]] Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .","Shares of Nokia Corp. [[jump]] Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .",0.018664240837097168,0.934378445148468,0,1,0,166,"Successful"
"In its financial [[report]] , [[published]] on Friday , SEB said its [[net]] [[profit]] soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and [[proposed]] a 50 % dividend [[increase]] to SEK1 .[[50]] per [[share]] .","In its financial [[study]] , [[issue]] on Friday , SEB said its [[last]] [[net]] soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and [[offer]] a 50 % dividend [[increment]] to SEK1 .[[L]] per [[apportion]] .",0.016772031784057617,0.0799025297164917,0,0,0,217,"Failed"
"[[Sales]] for the Department Store Division [[increased]] by 15 % and [[sales]] for the clothing store subsidiary Seppala [[increased]] by 8 % Meanwhile sales for Hobby Hall [[decreased]] by [[12]] % .","[[sale]] for the Department Store Division [[increase]] by 15 % and [[sale]] for the clothing store subsidiary Seppala [[increase]] by 8 % Meanwhile sales for Hobby Hall [[fall]] by [[twelve]] % .",0.01461803913116455,0.533252477645874,0,1,0,136,"Successful"
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has [[drawn]] up a future scenario for Finland 's national economy by [[using]] a model developed by the University of Denver .","At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has [[reap]] up a future scenario for Finland 's national economy by [[exploitation]] a model developed by the University of Denver .",0.09026747941970825,0.7258182764053345,2,0,2,245,"Successful"
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",0.9941861033439636,0.9941861033439636,1,1,2,1,"Skipped"
"The company [[supports]] its global customers in developing new technologies and offers a fast route from product development to applications and volume production .","The company [[affirm]] its global customers in developing new technologies and offers a fast route from product development to applications and volume production .",0.48959261178970337,0.8082343339920044,2,0,2,203,"Successful"
"When this investment is in place , Atria [[plans]] to expand into the Moscow market .","When this investment is in place , Atria [[program]] to expand into the Moscow market .",0.1931542158126831,0.7440975904464722,2,0,2,80,"Successful"
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",0.9249413013458252,0.9249413013458252,0,0,2,1,"Skipped"
"At first the [[contract]] envisaged the [[construction]] of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","At first the [[concentrate]] envisaged the [[structure]] of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",0.18861860036849976,0.6619795560836792,0,2,0,161,"Successful"
"In June it sold a 30 [[percent]] [[stake]] to Nordstjernan , and the investment group has now [[taken]] up the [[option]] to acquire EQT 's [[remaining]] [[shares]] .","In June it sold a 30 [[pct]] [[bet]] to Nordstjernan , and the investment group has now [[have]] up the [[pick]] to acquire EQT 's [[unexpended]] [[plowshare]] .",0.05313593149185181,0.5167184472084045,2,0,2,239,"Successful"
